Locus_ID,log2FoldChange
LOC105667742,0.462883014
LOC105667743,-0.221583315
LOC105667744,0.736368353
LOC105667745,0.029606541
LOC105667746,-0.355063663
LOC105667747,-0.583365583
LOC105667748,-0.209925502
LOC105667749,-0.268971139
LOC105667750,-0.401097961
LOC105667751,-0.790571772
LOC105667752,-0.126452059
LOC105667754,-0.25231243
LOC105667755,-0.492822465
LOC105667756,-0.287474741
LOC105667757,0.332257014
LOC105667758,-0.743324301
LOC105667759,0.619205051
LOC105667760,-0.35913357
LOC105667761,0.118700049
LOC105667762,0.026104509
LOC105667764,-0.32760684
LOC105667765,0.175668435
LOC105667766,0.576941528
LOC105667767,-0.158902867
LOC105667768,-0.010437693
LOC105667769,-0.053744378
LOC105667770,0.030409203
LOC105667771,-0.049357411
LOC105667772,0.068713095
LOC105667774,0.206993839
LOC105667775,0.058531087
LOC105667776,0.08454769
LOC105667777,-0.650025899
LOC105667778,-0.116368116
LOC105667779,0.184818363
LOC105667780,-0.294333872
LOC105667781,-0.183652034
LOC105667782,-0.327512929
LOC105667783,0.194739677
LOC105667784,-0.267407298
LOC105667785,0.34491592
LOC105667786,0.179642682
LOC105667787,-0.106852645
LOC105667788,0.327484322
LOC105667789,-0.11619963
LOC105667791,0.055326236
LOC105667792,-0.224590377
LOC105667793,0.299257795
LOC105667794,0.149982365
LOC105667795,-0.656119848
LOC105667797,0.245457466
LOC105667798,0.277576102
LOC105667799,-0.286251945
LOC105667800,-0.136530602
LOC105667801,0.02429541
LOC105667802,0.15954913
LOC105667803,0.406578496
LOC105667804,0.032712234
LOC105667805,0.158610189
LOC105667806,-0.121160298
LOC105667807,0.388011978
LOC105667808,0.090086714
LOC105667809,1.121712662
LOC105667810,-0.337616601
LOC105667811,0.092945594
LOC105667812,0.079037438
LOC105667813,-0.257693681
LOC105667814,0.035350188
LOC105667815,-0.722169869
LOC105667816,-0.049549271
LOC105667817,0.127540029
LOC105667818,-0.276867524
LOC105667819,-0.000933575
LOC105667820,-0.138744928
LOC105667821,0.070395859
LOC105667822,0.372516528
LOC105667823,0.629124623
LOC105667824,0.202506575
LOC105667825,0.120043101
LOC105667826,-0.270153143
LOC105667827,-0.771915485
LOC105667828,-0.450652124
LOC105667829,-0.283316111
LOC105667830,-0.080476125
LOC105667831,-0.508841344
LOC105667832,0.218422795
LOC105667833,-0.029217248
LOC105667834,0.194452873
LOC105667835,-0.521038411
LOC105667836,-0.074054
LOC105667837,0.256298981
LOC105667838,-0.189271898
LOC105667839,0.06041285
LOC105667840,0.473628976
LOC105667841,0.036616324
LOC105667842,0.125431495
LOC105667843,0.285620007
LOC105667844,0.472930191
LOC105667845,-0.716599037
LOC105667846,-0.195677807
LOC105667847,0.135518587
LOC105667848,0.066301454
LOC105667849,0.60933405
LOC105667850,-0.448374363
LOC105667851,-0.456614244
LOC105667852,-0.342907483
LOC105667853,0.266370176
LOC105667854,-0.120534977
LOC105667855,0.171042407
LOC105667856,-0.299021346
LOC105667857,0.134671062
LOC105667858,0.281638207
LOC105667859,-0.054621285
LOC105667860,-0.122687104
LOC105667861,-0.319808643
LOC105667862,0.175032562
LOC105667863,-0.487831173
LOC105667864,-0.060183173
LOC105667865,0.016086869
LOC105667866,0.23769836
LOC105667867,0.269026091
LOC105667868,0.334466093
LOC105667869,-0.349412058
LOC105667870,-0.545361527
LOC105667871,-0.337614323
LOC105667872,0.275877572
LOC105667873,0.004820117
LOC105667874,0.114227559
LOC105667875,-0.1474016
LOC105667876,-0.232271322
LOC105667878,0.158865141
LOC105667879,0.190825507
LOC105667880,-0.085374197
LOC105667881,0.397220514
LOC105667882,-0.144191625
LOC105667883,0.010328395
LOC105667885,0.294654543
LOC105667886,0.026229942
LOC105667887,-0.079975379
LOC105667888,0.207836057
LOC105667889,-0.068704914
LOC105667890,0.381300022
LOC105667891,-0.469674365
LOC105667892,0.061822531
LOC105667893,0.017735708
LOC105667894,0.467481167
LOC105667895,0.723414216
LOC105667896,-0.000569023
LOC105667897,-0.079299095
LOC105667898,0.158233041
LOC105667899,-0.45342849
LOC105667900,-0.006093261
LOC105667901,-0.054851297
LOC105667902,0.423458154
LOC105667903,0.420793449
LOC105667904,-0.162108336
LOC105667905,-0.332159126
LOC105667906,0.311008966
LOC105667907,0.441085831
LOC105667908,0.310819208
LOC105667909,-0.036513878
LOC105667910,0.137728475
LOC105667911,0.301325785
LOC105667912,-0.210715195
LOC105667913,0.027856667
LOC105667914,-0.622030022
LOC105667915,-0.052730014
LOC105667916,-0.44875114
LOC105667917,-0.756385535
LOC105667918,-0.40566568
LOC105667919,-0.22597759
LOC105667920,-0.191149907
LOC105667921,0.588763348
LOC105667922,0.315427306
LOC105667923,0.398430101
LOC105667924,0.197479771
LOC105667925,0.446660409
